	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Desulfoplanaceae	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfonatronovibrionaceae	0.0	6.0	17.0	5.5	9.0	21.5	7.0	0.0	31.5	3.0	37.5	15.5	0.0	12.0	2.0	1.0	2.5	28.5	10.0	35.5	214.5	0.0	11.0	9.0	0.0	23.0	6.5	5.0	7.5	15.0	1.0	22.5	11.0	17.0	32.0	31.5	11.5	12.0	9.0	25.0	45.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.5	0.0	2.0	19.0	21.5
Thermodesulfatatoraceae	7.0	17.0	109.5	8.0	14.0	163.0	38.0	4.0	136.5	10.0	177.5	84.5	1.5	125.5	9.5	8.0	48.5	112.0	91.5	85.5	5.0	1.0	55.0	54.5	2.0	70.5	28.0	31.5	100.0	27.0	20.0	202.0	7.0	28.0	67.5	129.5	71.5	111.5	94.0	218.5	181.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	9.5	74.5	0.0	50.0	70.0	63.5
Dissulfuribacteraceae	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfolunaceae	0.0	0.0	15.0	0.0	0.0	8.5	2.0	0.0	4.0	0.0	0.5	2.0	0.0	11.0	0.0	3.5	11.0	2.0	7.0	0.0	2.0	0.0	5.0	1.0	0.0	9.0	10.5	0.0	0.0	0.5	0.0	0.0	0.0	1.0	3.5	0.0	7.5	0.0	1.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.5
Desulforegulaceae	2.5	1.0	4.5	1.0	15.0	32.0	9.0	0.0	0.0	0.0	40.0	5.0	0.0	26.0	0.0	0.0	2.0	19.0	10.0	1.0	1.0	0.0	3.0	9.0	0.0	14.0	0.0	5.0	25.0	3.0	9.0	27.0	0.0	1.0	26.5	26.5	4.0	6.5	15.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	22.5	0.0	0.0	0.0	7.0
Desulfosarcinaceae	1.0	7.0	72.0	0.0	4.0	71.5	28.0	1.0	44.0	12.0	145.5	30.5	0.0	54.0	4.0	1.0	5.0	32.5	56.0	18.0	21.0	0.0	19.0	23.5	0.0	8.0	5.0	17.0	25.0	17.0	3.0	100.5	12.0	36.0	51.5	40.0	22.0	83.0	88.0	98.5	49.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	9.0	49.0	0.0	9.5	6.5	28.0
Desulfatirhabdiaceae	0.0	1.0	11.5	0.0	0.0	2.0	0.0	0.0	12.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfatibacillaceae	9.0	19.0	91.0	12.5	12.0	241.5	57.0	3.5	116.0	13.5	270.0	109.5	1.0	116.0	1.5	2.0	39.0	120.5	126.0	70.0	38.5	0.0	56.5	32.5	0.5	161.5	21.0	53.5	141.0	92.0	45.5	193.0	7.0	125.0	117.5	124.5	70.0	183.5	84.0	232.5	250.5	0.5	0.0	0.0	1.0	0.0	0.0	1.0	0.0	16.0	92.0	0.0	64.0	14.0	163.5
Thermodesulforhabdaceae	2.0	8.0	39.0	0.0	2.0	30.0	32.0	1.0	5.0	1.0	55.5	28.0	0.0	10.5	1.0	0.0	12.0	44.5	16.0	2.0	20.0	0.0	28.0	8.0	1.0	23.0	0.0	11.0	10.0	29.0	13.5	20.0	0.0	8.0	31.0	27.0	5.0	33.0	27.5	34.5	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	25.0	1.0	9.0	17.0	12.0
