	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Tombusviridae	1.0	7.0	113.0	2.0	22.0	58.5	7.0	0.0	43.0	4.0	70.0	28.0	1.0	23.0	5.0	9.0	16.0	77.0	36.0	35.0	15.0	0.0	22.0	33.0	0.0	0.0	32.0	23.0	29.0	1.0	22.0	63.0	1.0	21.0	47.0	56.5	167.5	99.0	52.0	151.0	121.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	17.0	45.0	1.0	13.0	45.0	69.5
Bromoviridae	240.0	438.5	4142.0	90.0	413.0	2767.0	1145.0	178.0	1769.5	285.0	2787.5	2152.5	20.0	1033.5	171.0	300.0	1640.5	3881.5	2123.0	1950.5	1376.5	13.0	2090.5	1085.0	16.0	2732.5	548.5	777.5	2781.5	881.5	799.0	4914.5	142.5	4558.0	1383.5	4087.0	1384.5	3861.0	2134.5	9886.0	18104.5	5.5	12.5	17.5	20.0	30.5	23.5	39.5	26.5	1211.0	3873.0	8.5	2784.5	877.5	12180.0
Hypoviridae	113.5	441.0	3384.0	216.0	460.0	2619.5	1525.5	171.0	3447.5	337.5	2384.5	6703.0	18.0	1397.5	131.0	134.0	766.5	2199.0	2484.5	1419.0	464.5	11.0	699.5	455.0	7.5	1278.0	365.5	408.5	3568.0	712.0	12094.0	20821.5	124.5	1982.5	2660.5	4614.0	1736.5	2935.0	3068.0	2972.5	1228.0	6.0	6.0	7.0	2.5	3.5	5.5	9.5	4.0	763.0	2294.5	8.5	1261.0	1181.5	5600.0
Closteroviridae	96.0	178.5	482.5	43.0	100.0	960.5	515.0	30.5	333.5	77.5	875.0	644.0	4.5	331.0	35.0	66.0	346.5	713.0	528.5	558.0	259.5	1.5	282.0	343.5	2.0	508.0	98.5	266.0	1174.0	119.0	224.5	1813.0	48.5	2043.0	906.0	830.0	574.5	1009.0	463.5	853.5	1440.5	9.0	2.5	3.5	1.0	3.0	4.0	2.0	6.0	217.5	703.0	1.5	414.5	313.0	3502.5
Papillomaviridae	0.5	10.0	14.5	3.0	1.0	23.5	0.0	1.0	0.0	1.0	99.5	66.0	0.0	0.0	0.0	3.5	1.0	7.0	1.0	0.0	13.0	0.0	0.0	5.0	0.0	35.0	1.0	0.0	0.0	9.5	7.0	1.0	0.0	0.0	11.0	8.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	61.5	64.5	111.0
Polyomaviridae	0.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	29.0	0.0	0.0	0.0	1.0	0.0	33.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pospiviroidae	107.0	303.5	1583.5	62.0	175.5	2255.0	913.0	78.5	1119.0	208.5	2254.5	1446.5	9.0	981.0	169.5	424.5	722.0	988.5	1384.0	1029.5	667.5	5.0	872.5	559.5	11.5	1349.5	405.5	587.5	1826.5	484.0	528.5	6182.5	116.0	1226.5	1052.5	3918.0	987.5	1982.5	1406.0	3043.5	2804.0	0.5	5.5	3.0	3.0	6.5	4.0	9.0	12.0	283.5	1466.5	5.0	765.0	1100.5	6492.5
Avsunviroidae	0.0	0.0	6.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	1.0	5.0	8.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	32.0
Caulimoviridae	0.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Narnaviridae	8.0	7.0	7.5	1.0	1.0	21.0	6.5	1.5	6.0	196.5	53.5	10.0	0.0	11.0	0.0	1.0	0.0	19.0	27.0	18.0	9.5	0.0	4.0	6.0	0.0	15.0	0.0	12.5	18.0	0.0	9.0	52.0	0.0	36.0	22.0	17.5	4.0	8.5	13.0	37.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	25.0	0.0
