	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Candidatus Cenarchaeaceae	2.0	14.5	44.0	0.0	7.0	137.0	31.0	3.0	138.5	6.0	81.0	65.5	0.0	86.0	2.0	3.0	3.0	36.0	55.0	22.0	22.0	0.0	25.0	22.5	0.0	31.0	8.0	1.0	28.5	32.0	2.0	76.0	1.0	110.0	70.0	53.0	24.0	40.0	55.0	174.0	104.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5	0.0	18.0	63.0	0.0	17.0	0.0	43.0
Caldisphaeraceae	2.0	4.0	19.0	0.0	0.0	7.0	4.0	0.0	19.0	3.0	14.0	7.0	0.0	17.0	7.0	0.0	0.0	14.0	14.0	23.0	3.0	0.0	7.0	5.0	0.0	0.0	0.0	11.0	3.0	1.0	13.5	37.5	0.0	1.0	4.0	10.0	18.0	4.0	8.0	28.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	3.0	0.0
Nitrosopumilaceae	4434.0	9311.5	54650.0	1885.5	9591.0	70768.5	24815.0	1947.0	39599.5	6558.0	71574.5	38998.0	342.5	31798.0	5050.5	5117.0	18788.0	33380.0	46074.0	26764.5	20045.0	264.5	30665.0	18509.0	213.0	41824.0	12075.0	16647.0	53751.5	20960.0	15130.5	53063.5	4330.0	48988.5	38475.5	51308.5	30059.5	68000.5	54906.0	98314.0	86705.0	109.5	143.0	128.5	114.0	203.5	158.0	202.0	208.0	12597.5	42938.5	176.5	52862.5	18486.0	109339.0
Methanocellaceae	252.0	700.5	3473.0	116.5	1313.0	6150.0	1552.0	69.0	2390.0	428.5	5461.5	2150.0	19.0	3151.0	147.0	184.0	849.0	2717.0	3205.5	1521.0	1397.5	13.0	2000.5	1746.5	14.0	2583.5	683.5	746.5	2437.5	1195.0	706.5	3891.5	237.5	2652.5	2926.5	4750.0	1842.0	4130.5	3381.5	5501.5	5149.0	3.0	4.5	17.0	13.5	14.0	5.0	14.0	14.5	713.0	3256.5	9.0	869.5	1125.5	1447.0
Methermicoccaceae	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	13.0	3.0	1.0	20.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fervidicoccaceae	123.5	355.0	1749.5	76.5	227.5	2539.0	881.5	39.5	1053.0	215.5	2133.0	1150.5	6.5	1281.5	207.5	121.5	510.5	1462.0	3361.0	769.5	530.5	10.0	809.5	477.0	4.0	1195.0	420.5	354.0	1707.5	475.5	346.5	1746.5	223.0	1284.5	1288.0	2166.0	692.5	2384.5	1692.0	3192.0	2356.5	1.0	1.5	4.0	3.0	4.5	3.5	9.5	9.0	553.0	1562.0	2.0	897.0	576.0	1293.5
Acidilobaceae	1622.5	4409.0	19149.0	486.5	1847.0	14466.0	5941.0	1493.0	18591.0	5979.5	10013.5	30466.5	128.5	3118.5	2574.5	2212.0	4416.5	6784.0	6929.0	8351.5	4348.5	58.0	6276.0	3466.5	51.0	11753.0	3072.5	7255.0	28219.5	7092.5	4928.0	8842.0	381.0	33308.5	10876.0	8038.0	4896.0	20297.5	23066.5	31249.0	31603.5	25.5	39.5	35.0	41.0	56.5	55.5	56.0	47.5	3810.5	19159.5	54.5	19922.5	3149.5	25812.5
Nitrososphaeraceae	26.0	78.0	512.0	26.0	18.0	1645.5	309.5	33.5	361.0	23.5	305.5	279.5	1.5	493.0	79.5	16.0	323.0	154.5	1308.0	169.0	189.5	6.0	215.5	136.0	0.0	731.5	147.0	648.0	410.0	47.0	148.5	274.0	22.0	306.5	232.0	412.5	303.5	256.0	361.0	1338.5	505.5	0.0	2.0	1.0	1.5	1.0	0.0	4.0	3.5	848.5	290.5	1.0	88.5	718.5	906.5
Methanoregulaceae	65.5	264.0	973.0	33.5	305.5	1836.5	546.5	64.5	1261.0	197.0	2873.0	914.5	22.5	879.5	79.0	92.5	369.5	972.5	1516.0	558.5	253.0	4.0	1160.0	390.0	5.0	1908.5	227.0	445.5	1236.0	380.0	472.0	1224.0	99.5	1009.5	1045.0	1185.5	644.5	1319.5	1794.0	2504.5	2342.5	12.0	12.5	1.0	1.5	4.0	4.0	7.0	3.0	308.5	1079.5	13.5	350.0	264.0	31514.5
Methanocalculaceae	56.0	77.0	468.5	33.0	94.5	1055.0	235.5	74.0	374.0	116.0	671.0	1141.5	3.0	479.0	79.5	66.0	229.0	427.0	517.0	263.0	171.5	1.0	260.0	264.0	2.0	319.5	79.5	190.0	780.5	185.5	86.0	921.0	44.5	345.0	479.0	1099.5	1210.5	731.0	725.0	1058.5	723.5	1.0	1.5	4.0	1.0	0.0	1.0	4.5	2.0	82.5	449.0	1.5	159.0	187.0	2492.5
Methanomassiliicoccaceae	738.0	1260.5	6604.0	201.0	511.5	9263.0	4935.0	565.0	5411.5	715.5	8679.5	9154.0	37.0	3001.5	701.0	945.5	2647.0	2900.0	7705.0	2708.0	1612.5	23.0	3835.5	2630.0	14.0	8594.0	1957.0	1551.5	7069.5	4573.0	1618.0	5351.0	427.0	4477.0	4416.0	6167.5	2442.0	7622.5	6809.0	10634.5	7711.0	19.5	9.5	11.5	13.0	24.0	16.5	23.0	22.0	2004.5	5653.5	24.5	6782.0	2274.5	12612.5
Haloferacaceae	2852.5	5346.0	21546.0	1400.5	5062.0	30048.0	12588.5	1270.5	22452.0	2955.0	33328.0	22665.0	166.0	12700.5	3642.0	2663.0	8318.5	13921.0	30906.5	11634.0	7471.5	113.0	16192.5	8007.5	93.0	28240.0	9053.5	8681.5	23070.5	7313.5	7235.0	21670.0	2008.0	16651.0	15850.5	30678.0	10059.0	28544.0	22427.5	37985.0	61359.0	73.0	79.5	61.0	61.5	104.5	75.5	110.5	122.0	6325.0	18704.0	78.0	18104.0	8366.5	72724.0
Natrialbaceae	640.0	1094.0	5204.5	244.5	953.5	7447.0	2689.5	340.0	4408.5	856.5	8208.0	4053.0	26.0	3227.0	618.0	678.0	1941.0	3120.5	6448.0	2988.5	1662.5	20.5	3521.5	2120.5	25.5	7685.5	1509.0	2007.0	5740.5	2031.5	2057.5	5653.5	441.0	5228.0	4355.5	4761.5	3071.0	7667.0	6469.5	12119.5	11775.5	11.0	10.0	9.0	10.5	22.5	20.5	27.0	25.5	3786.0	6266.0	15.0	3064.5	2906.5	5300.5
Cuniculiplasmataceae	27.5	44.5	260.0	5.0	38.0	479.5	116.5	23.5	372.0	28.0	401.5	206.0	1.0	149.5	7.5	24.5	47.0	234.0	167.5	100.5	64.5	1.0	131.0	126.5	1.0	219.5	70.5	62.0	249.5	92.5	33.5	489.5	32.5	191.5	183.5	222.5	120.0	282.0	202.0	531.5	354.5	0.0	0.0	0.0	1.0	0.0	1.5	1.0	0.0	42.5	213.0	0.0	93.0	107.5	137.5
Nanoarchaeaceae	66.5	208.5	641.0	30.0	50.0	1214.5	1017.0	52.5	317.0	112.5	1129.0	350.5	5.5	613.5	52.0	34.0	238.5	471.5	1049.5	283.0	79.5	1.0	375.5	224.0	7.0	537.5	206.5	158.5	595.5	345.5	142.5	683.0	68.0	508.0	590.5	802.5	315.5	769.5	534.0	1206.5	974.5	2.5	1.0	2.0	2.0	4.0	1.0	1.0	2.0	919.0	838.0	1.0	246.5	311.0	315.5
Nanopusillaceae	1.0	0.0	1.0	0.0	1.0	11.0	5.0	0.0	2.0	0.0	5.0	0.0	0.0	3.0	0.0	3.0	1.0	3.0	3.0	8.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	5.0	0.0	16.0	2.0	48.0	0.0	11.0	3.0	6.5	1.0	23.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Haloarculaceae	2637.0	4447.0	27932.0	750.0	3897.5	32288.5	14950.5	1538.5	19463.5	3391.0	28921.0	22338.5	146.5	13491.0	2177.0	2027.0	8502.0	12446.5	22201.0	9846.5	6605.5	91.5	12607.5	8426.0	106.5	22088.5	6258.5	7147.0	22987.0	6995.5	5373.0	19526.0	1314.5	14251.5	16003.5	19810.5	11268.0	24548.0	21969.5	44793.0	39506.5	46.5	45.0	58.5	51.0	104.0	65.5	99.0	75.0	10091.5	17390.5	64.5	16544.0	7466.0	28374.0
Halococcaceae	351.5	496.0	3575.0	156.5	321.0	6077.0	2166.5	163.0	2269.5	596.5	3976.0	2718.0	23.5	1748.0	220.5	517.5	1103.0	2828.5	5652.0	1717.5	1306.5	20.5	2153.0	1385.5	33.5	7996.5	824.0	1065.0	2768.5	944.0	1889.0	2738.0	252.0	3248.0	1786.0	4657.0	1623.5	4365.0	2846.5	14220.0	18731.0	12.5	16.5	19.0	15.0	36.0	29.5	42.0	36.5	6327.5	2645.0	11.0	5537.5	1877.5	4982.0
Candidatus Nitrosocaldaceae	2.0	7.0	15.0	0.5	6.0	60.0	7.0	2.5	23.5	6.0	25.0	16.0	0.0	9.0	4.0	0.0	7.0	4.0	20.5	40.0	22.0	0.0	38.0	19.0	0.0	82.0	6.0	5.0	37.5	30.0	8.0	36.0	49.0	32.0	34.0	31.0	16.0	57.0	39.0	57.0	79.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	14.5	26.0	0.0	1.0	22.0	5.0
Methanonatronarchaeaceae	0.0	0.0	0.0	0.0	0.0	1.0	0.5	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
