gene	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100177_2	SAMPLE_100206_2	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100177_1	SAMPLE_100177_3	SAMPLE_100206_1	SAMPLE_100206_3	SAMPLE_100257_3
ENSG00000006638	49	133	84	121	2	24	113	29	83	1	106	108	0	4	38	96	188	41	217	28	89
ENSG00000006652	467	620	201	1660	7	2468	1456	330	735	3	768	902	4	127	1168	643	633	27	13102	115	290
ENSG00000006659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695	54	66	143	23	1	8	26	23	116	0	230	171	0	133	28	133	91	1	165	22	337
ENSG00000006704	2	12	9	16	0	11	10	0	0	0	37	1	0	39	0	3	19	12	3	10	1
ENSG00000006712	512	513	514	633	8	472	856	171	956	2	1779	1648	4	334	1146	953	538	237	5422	248	1464
ENSG00000006715	436	810	340	791	5	172	493	525	765	6	1280	1127	3	142	752	921	604	490	1788	166	1291
ENSG00000006740	0	44	27	4	0	5	16	20	10	0	29	46	0	0	9	0	16	23	6	16	14
ENSG00000006744	170	314	68	175	0	56	91	146	242	2	332	320	0	178	337	322	111	76	455	76	386
ENSG00000006747	26	41	0	10	0	6	1	50	0	0	8	16	0	0	1	0	4	0	0	2	0
ENSG00000006756	73	119	4	13	0	76	116	12	25	0	31	113	0	0	99	194	146	26	160	53	9
ENSG00000006757	10	19	41	10	0	17	3	0	19	0	24	16	0	0	37	68	26	157	49	18	81
ENSG00000006788	1	20	7	0	0	5	18	0	0	0	4	8	0	0	0	0	1	5	0	8	0
ENSG00000006831	226	329	171	711	1	167	153	106	355	3	523	480	1	110	357	348	424	200	802	22	832
ENSG00000006837	6	0	0	8	0	1	0	0	0	0	0	16	0	24	0	1	5	0	0	7	0
ENSG00000007001	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	3	2	0
ENSG00000007038	2	21	0	1	0	1	11	0	0	1	3	0	0	0	0	0	2	0	10	1	0
ENSG00000007047	299	393	241	412	1	222	345	94	427	1	867	894	3	140	692	596	280	218	1287	107	179
ENSG00000007062	1	7	0	1	0	7	5	0	0	0	1	0	0	0	0	0	7	46	1	8	0
ENSG00000007080	215	218	153	208	3	127	234	163	635	2	650	657	0	168	297	429	268	79	1328	71	719
ENSG00000007129	23	54	48	22	0	33	65	40	59	0	21	84	0	1	16	4	14	20	105	10	31
ENSG00000007168	446	595	218	763	3	348	419	331	708	2	1387	1521	2	263	759	665	378	546	1967	172	1737
ENSG00000007171	0	12	13	0	0	5	5	0	1	0	3	1	0	0	0	0	6	1	18	38	6
ENSG00000007174	0	45	2	0	0	13	1	3	0	0	1	1	0	0	0	0	7	9	4	23	0
ENSG00000007202	674	1263	165	866	3	246	412	143	682	2	921	1598	2	220	1224	1046	589	238	2142	217	495
ENSG00000007216	2	17	1	0	0	2	6	0	1	0	0	0	0	0	2	0	0	0	1	2	0
ENSG00000007237	550	837	311	1605	11	364	497	297	594	5	952	1606	1	252	1373	2092	978	652	5213	390	2363
ENSG00000007255	29	66	21	31	0	3	40	0	144	0	23	168	1	7	58	155	18	23	121	41	163
ENSG00000007264	178	268	423	81	3	404	392	169	1023	6	2185	865	0	388	258	199	426	448	738	459	126
ENSG00000007306	1	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ENSG00000007312	126	242	4	85	1	42	119	17	56	0	272	267	0	14	334	305	41	34	270	59	332
ENSG00000007314	0	29	15	0	0	14	14	1	32	0	0	11	0	0	0	1	6	49	11	33	10
ENSG00000007341	239	282	36	390	1	60	90	175	152	0	128	206	2	27	137	116	142	12	741	73	168
ENSG00000007350	17	19	28	54	0	9	16	33	0	0	38	17	1	0	86	12	17	0	205	25	1
ENSG00000007372	3	44	8	1	0	66	36	20	33	0	5	4	0	7	9	2	12	25	15	69	24
ENSG00000007376	49	72	7	49	0	62	57	40	136	2	223	157	0	26	69	224	69	16	501	34	76
ENSG00000007384	1	16	3	0	0	13	12	2	5	0	1	15	0	0	1	0	8	7	37	17	22
ENSG00000007392	549	802	94	601	5	248	335	222	283	4	346	613	3	33	832	189	197	90	1441	181	154
ENSG00000007402	27	88	22	5	0	13	5	0	29	0	60	59	0	0	23	1	2	46	22	11	0
ENSG00000007516	30	37	20	66	0	79	36	2	21	0	11	77	0	87	153	66	42	49	428	28	14
ENSG00000007520	144	160	162	143	2	161	249	9	614	3	601	694	2	315	337	676	382	128	1543	90	367
ENSG00000007541	63	111	12	59	0	35	33	1	30	0	97	73	1	50	57	112	111	20	404	27	26
ENSG00000007545	182	202	83	172	0	91	119	74	139	0	98	263	0	17	272	77	127	231	432	36	176
ENSG00000007866	4	10	0	0	0	17	1	4	0	0	0	1	0	0	1	1	11	2	1	19	0
ENSG00000007908	0	8	2	1	0	0	3	0	0	0	0	0	0	0	0	1	0	42	59	2	0
ENSG00000007923	168	243	230	172	1	84	200	79	365	1	486	629	1	128	286	250	153	184	786	92	539
ENSG00000007933	1	3	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	21	23	6	0
ENSG00000007944	251	346	115	257	3	512	277	54	339	0	691	626	1	26	517	240	356	159	3025	76	276
ENSG00000007952	0	5	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	12	0
ENSG00000007968	137	190	123	299	1	50	103	18	1076	1	327	372	1	62	375	766	505	42	1615	54	565
ENSG00000008018	378	422	246	439	4	282	377	237	819	0	839	965	5	652	397	477	192	388	2479	103	951
ENSG00000008056	17	18	33	44	1	6	19	0	0	0	3	7	0	0	14	6	6	0	132	7	7
ENSG00000008083	1903	1675	568	4372	11	984	1036	536	925	6	1363	2599	11	439	2818	1759	1065	315	11038	254	1164
ENSG00000008086	32	127	15	151	0	58	105	53	64	0	61	63	0	97	92	63	137	15	596	32	220
ENSG00000008118	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	26	0	0
ENSG00000008128	211	160	32	218	2	139	81	82	52	21	50	243	2	3	370	105	153	21	804	10	493
ENSG00000008130	332	765	620	841	10	1600	1247	254	764	4	1270	1273	1	341	1471	1670	1250	643	11144	311	2475
ENSG00000008196	1	40	5	0	0	11	39	1	0	0	9	0	0	0	0	0	1	0	15	18	0
ENSG00000008197	0	11	0	0	0	0	1	5	0	0	0	1	0	0	0	0	3	0	0	0	0
ENSG00000008226	23	32	11	6	0	118	140	8	1	0	11	39	0	0	5	1	4	3	63	21	0
ENSG00000008256	37	87	117	142	2	16	24	20	56	0	79	72	0	12	231	119	106	61	305	27	101
ENSG00000008277	51	116	19	140	0	26	27	44	52	0	57	34	0	13	17	51	74	18	135	38	4
ENSG00000008282	160	99	22	205	2	80	77	10	110	0	382	253	0	88	140	66	122	58	546	24	327
ENSG00000008283	18	83	31	26	0	16	43	0	23	0	9	102	0	1	26	57	24	2	260	31	13
ENSG00000008294	921	914	300	1734	6	865	739	357	1085	6	1336	1650	5	360	1551	961	526	121	6351	184	539
ENSG00000008300	31	78	24	24	0	49	30	13	0	0	82	19	0	15	70	10	5	28	15	29	16
ENSG00000008311	15	19	15	13	1	10	1	20	16	0	3	11	0	0	1	16	15	0	33	3	100
ENSG00000008323	0	11	0	0	0	10	18	0	0	0	1	1	0	0	0	0	4	21	1	7	0
ENSG00000008324	49	96	34	22	1	65	57	61	169	0	294	214	1	72	178	172	48	158	493	30	169
ENSG00000008382	125	182	167	140	1	96	236	48	287	1	451	462	0	53	241	355	78	111	759	71	620
ENSG00000008394	31	26	0	7	0	28	17	1	1	0	31	24	2	0	29	11	87	55	74	18	57
ENSG00000008405	67	91	1	134	1	11	7	39	85	0	75	83	1	56	98	64	39	52	441	15	41
ENSG00000008438	1	5	131	51	0	60	86	12	11	0	38	133	0	0	19	3	94	39	2027	13	13
ENSG00000008441	239	222	184	633	1	83	112	104	430	0	790	513	4	229	382	756	993	327	943	94	1222
ENSG00000008513	991	991	318	1546	5	391	518	358	618	2	1121	1717	2	138	1369	1024	589	284	3627	282	785
ENSG00000008516	184	55	7	412	10	1503	939	37	241	2	70	355	1	1	2184	955	613	21	16769	55	129
ENSG00000008517	475	694	1096	249	6	206	605	525	2065	2	4976	2753	6	949	451	993	694	778	1699	107	1569
ENSG00000008710	258	293	23	236	1	148	202	23	249	1	181	189	0	4	213	72	63	7	226	155	85
ENSG00000008735	6	30	0	2	0	38	2	0	0	0	0	23	0	0	28	1	16	2	51	14	0
ENSG00000008838	162	184	149	150	1	81	161	93	368	1	835	553	2	99	256	308	260	412	718	34	474
ENSG00000008853	275	315	236	165	4	77	213	81	257	0	785	508	4	214	494	550	228	235	1109	174	708
ENSG00000008869	319	363	169	266	2	146	270	66	311	3	828	506	0	438	174	341	319	84	862	121	619
ENSG00000008952	2290	2445	1608	5618	26	1611	2144	1351	6118	18	4817	7334	18	2171	4785	7469	4341	1069	15741	668	7628
ENSG00000008988	3742	3503	3416	4431	46	1317	3993	2228	10675	42	15371	14368	22	3834	7721	15947	5131	3268	19611	1353	16363
ENSG00000009307	5364	6141	4066	11306	42	1951	3538	3351	6902	35	13650	11936	34	2924	7144	9241	6047	3087	25888	1509	16030
ENSG00000009335	293	527	243	384	2	175	382	217	686	1	715	828	1	316	355	613	363	202	1285	120	1560
ENSG00000009413	379	641	192	466	3	288	322	139	566	0	708	935	0	175	744	462	456	402	1164	146	753
ENSG00000009694	20	134	2	10	0	47	36	1	38	0	75	172	0	7	12	24	15	4	108	9	29
ENSG00000009709	0	36	3	0	0	8	5	1	11	0	10	0	0	0	8	0	5	0	1	6	1
ENSG00000009724	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0
ENSG00000009765	1	34	5	1	0	4	22	2	0	0	2	0	0	0	0	0	13	22	3	11	0
ENSG00000009780	74	133	36	152	0	99	49	31	125	0	222	295	0	56	96	138	122	11	427	36	269
ENSG00000009790	839	1382	490	951	12	381	965	205	1842	7	3402	2939	13	322	1392	1263	806	761	3731	455	2069
ENSG00000009830	21	81	23	13	0	49	5	1	31	0	46	30	0	1	15	54	8	4	103	42	26
ENSG00000009844	131	229	164	196	1	100	198	204	242	0	531	376	0	51	120	240	172	184	975	90	419
ENSG00000009950	34	36	8	39	0	10	7	1	14	0	4	65	0	1	13	1	9	15	31	15	6
ENSG00000009954	1062	1635	1025	1741	13	553	1216	669	1822	11	4449	3120	6	781	1675	1917	1083	1111	4336	383	3009
ENSG00000010017	1634	1466	599	2564	13	541	616	1052	1015	10	1296	2224	7	781	636	1505	1124	428	4582	287	1599
ENSG00000010030	13	14	72	56	1	172	91	23	53	1	9	74	0	39	72	89	96	40	1776	47	398
ENSG00000010072	53	176	32	132	0	82	80	64	149	0	82	341	0	12	222	62	76	4	750	52	82
ENSG00000010165	45	47	93	27	0	41	31	24	84	0	395	210	2	96	67	113	117	163	255	39	304
ENSG00000010219	51	85	16	65	0	27	49	28	52	1	123	181	0	22	72	71	29	3	141	21	262
