sample	cleaned_fastq.1	cleaned_fastq.2	cleaned_fastq.U	merged_fastq.1	merged_fastq.2	merged_fastq.U	raw_fastq.1	raw_fastq.2	raw_fastq.U	trimmed_fastq.1	trimmed_fastq.2	trimmed_fastq.U
Water_B	14918	14918	66126	19546	19546	173938	5985012	5985012	0	25359	25359	168125
Water_B8	18540	18540	1452	18645	18645	1475	22082	22082	0	20093	20093	27
Water_B16	92701	92701	144714	107454	107454	314239	6566022	6566022	0	169381	169381	252312
Water_A8	104695	104695	29421	105957	105957	35221	613536	613536	0	132670	132670	8508
Water_B8B	12326	12326	1077	12382	12382	1105	15613	15613	0	13455	13455	32
Water_A	99462	99462	24747	100279	100279	25748	221051	221051	0	123819	123819	2208
100177_3100	3641	3641	295	3666	3666	301	4027	4027	0	3963	3963	4
100177_4230B	43408613	43408613	3140921	43686744	43686744	3151661	46894145	46894145	0	46836912	46836912	1493
100177_3100B	51927449	51927449	5743213	52133135	52133135	5756287	58757651	58757651	0	57876538	57876538	12884
100177_3150B	113188051	113188051	9426793	113819602	113819602	9474183	124789914	124789914	0	123238638	123238638	55147
100177_3150	154244593	154244593	13074705	155099004	155099004	13146399	170466582	170466582	0	168176186	168176186	69217
100177_4230	64381312	64381312	4699884	64792952	64792952	4717155	69599130	69599130	0	69507869	69507869	2238
100256_4230	72757582	72757582	4310252	73198648	73198648	4337979	78674149	78674149	0	77505679	77505679	30948
100256_3100	75711715	75711715	3512450	76154526	76154526	3528150	79955408	79955408	0	79661829	79661829	20847
100256_3150	74728306	74728306	4739980	75183671	75183671	4754466	80037864	80037864	0	79933284	79933284	4853
SAMPLE_water3_1	29888	29888	66834	30247	30247	70853	101907	101907	0	98204	98204	2896
SAMPLE_100267_3	16670547	16670547	93977824	16854259	16854259	96346735	113837758	113837758	0	111211634	111211634	1989360
SAMPLE_100267_2	28422992	28422992	74273131	28611734	28611734	76551762	105474862	105474862	0	104287915	104287915	875581
SAMPLE_100267_1	3258960	3258960	81370024	3343285	3343285	81796360	85148128	85148128	0	85099150	85099150	40495
SAMPLE_water5_1	3244030	3244030	8945349	3258381	3258381	9339745	12741287	12741287	0	12145352	12145352	452774
SAMPLE_100257_3	30294223	30294223	38874987	30494322	30494322	41431697	71979443	71979443	0	71727573	71727573	198446
