genes	logFC	logCPM	PValue	FDR
ENSG00000226573	4.04799313758423	-2.99934443803653	0.00059030038273512	0.344241334610294
ENSG00000110203	-2.42366856677375	0.901014273397934	0.000591021042816046	0.344241334610294
ENSG00000213867	3.12957940504857	-2.87706568510569	0.000591975142671848	0.344241334610294
ENSG00000207481	-1.62926146956655	0.449240745922111	0.000603294517698939	0.346267548177982
ENSG00000179603	2.3322099001134	-0.308813070472509	0.000611915980615206	0.34671316363191
ENSG00000214125	3.62397487531035	-2.94790387477812	0.00062220138747105	0.348078358471938
ENSG00000227382	3.75982723842635	-3.01819526281151	0.000641178368207	0.349227905472014
ENSG00000268532	3.33335331233828	-1.65640606653783	0.000657313124660013	0.349227905472014
ENSG00000255299	4.20120912751076	-2.97885011831084	0.000660259163949042	0.349227905472014
ENSG00000261606	2.76347766579829	-2.53865568639244	0.000661428559694107	0.349227905472014
ENSG00000200062	2.09014227193989	-1.90151307973616	0.000672188455913732	0.349227905472014
ENSG00000232392	2.96821079647757	-3.23380733933467	0.000682741275330759	0.349227905472014
ENSG00000197296	2.17613710152846	-0.427393230057101	0.000688765990503964	0.349227905472014
ENSG00000282728	-2.63377452656181	-1.1589060900441	0.000705040158436953	0.349227905472014
ENSG00000151090	-1.58099874426566	2.29227965860454	0.000709301826425452	0.349227905472014
ENSG00000281186	4.16896430088038	-2.9738107852061	0.000712825191871927	0.349227905472014
ENSG00000236852	2.49404815715716	-2.94575585798305	0.000716675866653704	0.349227905472014
ENSG00000261496	4.35438170742744	-2.76203341281134	0.000735066922266408	0.349227905472014
ENSG00000277112	3.56168624954286	-2.26786432322831	0.000744598021867011	0.349227905472014
ENSG00000261071	-4.35499321223068	-1.72025352869626	0.000746613301450047	0.349227905472014
ENSG00000211745	2.62660783832319	-2.08235228963268	0.000752874005371965	0.349227905472014
ENSG00000226527	3.39211282687947	-3.04842304163709	0.000754613408641124	0.349227905472014
ENSG00000255152	3.44573316521171	-2.79156337890104	0.000758589861416753	0.349227905472014
ENSG00000230563	4.19183812388587	-2.98275671352983	0.000788396907896325	0.359208261283279
