genus	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3
32003.0	2435.0	6810.0	31183.5	1368.0	5676.5	54303.5	12576.5	676.0	24192.0	6385.0	62197.5	17946.5	173.0	32267.0	1534.5	2082.0	9551.5	36082.0	24014.5	19765.5	10672.0	185.0	20305.5	14707.0	186.0	27318.0	7518.5	10023.5	29694.5	11684.0	8347.0	42196.5	3695.0	27990.5	34175.5	37839.0	19505.0	55324.0	40327.5	74422.5	68441.5
32064.0	97.0	199.5	1001.5	50.5	123.0	1291.0	925.0	205.5	724.5	117.5	1370.0	441.5	6.0	767.5	34.0	90.0	315.5	1012.0	888.5	395.5	248.5	6.5	517.0	367.0	3.0	1236.5	187.5	208.0	1012.5	317.5	329.5	1091.5	121.0	1256.5	1045.0	1276.5	711.0	2695.0	986.5	2271.0	1121.0
32069.0	285.5	142.5	796.5	31.5	130.0	1129.0	258.5	20.0	471.5	90.5	1276.0	390.5	5.0	787.0	40.0	42.5	216.0	738.0	810.0	275.0	221.0	5.5	320.5	197.5	3.0	406.0	121.0	198.5	563.0	277.5	246.5	1097.0	112.0	671.0	908.5	738.5	392.0	848.0	697.5	1205.0	879.0
48461.0	253.5	482.5	2654.5	101.0	294.5	4737.0	1409.0	124.0	1924.0	325.5	4072.0	1693.5	22.0	2127.5	187.5	199.5	1226.5	2309.0	2636.0	1250.0	809.5	14.0	2219.5	1123.0	13.0	2408.5	700.5	618.0	2674.0	1251.5	1013.0	7253.0	277.5	2170.0	2325.5	3803.0	1379.0	3769.5	2526.5	5296.5	3867.0
51291.0	177.5	440.5	2088.5	112.0	315.5	4156.5	789.0	56.5	1388.5	407.0	4778.0	1978.0	12.0	2056.0	156.0	143.0	743.5	2271.0	2117.5	1384.5	878.5	11.5	1499.5	904.5	7.0	2056.5	398.5	770.5	3497.5	792.5	708.0	3237.0	216.0	2105.5	2378.5	2792.5	1503.5	4059.0	2739.5	5802.5	4001.5
52604.0	235.5	388.5	2704.0	90.0	231.5	2814.5	1182.5	103.5	1443.5	401.5	4543.0	1601.0	7.5	1519.5	98.5	133.0	843.0	1587.0	1435.0	1174.5	1027.5	11.0	1396.0	854.5	16.5	2004.0	669.0	520.0	2213.5	696.0	609.0	1700.5	87.0	1398.5	1155.5	2436.0	1256.5	2898.0	2028.0	6828.5	13863.5
53433.0	112.0	202.0	1318.5	49.5	151.0	1857.0	621.0	125.0	935.5	205.5	1785.0	877.5	3.0	1012.0	66.5	93.0	412.0	952.5	1278.0	619.5	287.0	4.0	636.5	427.0	4.0	1213.0	203.0	272.0	1319.5	556.0	376.5	1665.5	163.0	941.0	1318.5	1396.5	626.0	1458.0	1106.5	2447.0	1394.5
54526.0	100.0	258.5	1241.5	67.5	299.0	2314.0	402.0	24.0	954.0	202.5	2413.5	603.0	3.0	1454.5	69.0	68.5	361.0	1395.0	1220.5	586.5	298.0	10.0	549.0	416.0	6.0	765.5	240.0	361.5	1112.5	456.0	246.5	1960.5	243.0	1122.0	1689.5	1379.0	853.0	2065.0	1154.5	2439.5	1607.0
68295.0	263.5	577.0	2685.0	242.0	782.5	13909.5	1460.0	125.0	2088.0	501.5	4354.0	1976.5	21.0	2665.0	243.5	371.5	1117.5	2382.5	7711.5	1293.5	699.5	12.0	1417.0	1018.0	20.0	4710.5	603.5	521.0	2169.5	1300.5	2212.5	10780.0	279.5	2136.0	4740.5	3677.0	1805.0	16100.5	6931.0	6250.0	4359.5
68933.0	8253.5	708.0	1588.5	78.0	214.0	2472.0	1150.5	195.5	1594.5	344.5	5059.0	1111.5	6.5	1577.5	135.0	290.0	1158.5	1264.5	2177.0	951.0	660.5	10.0	1441.0	660.5	16.0	1718.0	1359.0	709.5	1618.0	902.5	679.5	1920.5	183.0	2099.5	2205.5	1679.0	821.0	3783.0	3044.0	5335.5	10271.0
68985.0	255.5	650.5	2765.5	97.0	433.0	3987.0	1504.0	213.5	3141.5	294.0	3258.5	2174.5	13.5	6707.0	357.5	286.0	1378.0	1603.5	2449.0	1181.5	1139.5	18.0	1687.0	871.0	11.5	1954.0	692.5	686.5	4188.5	1275.5	829.5	4869.0	209.0	2091.5	1702.0	3078.5	1259.0	3009.5	1855.0	4489.0	3170.5
69541.0	300.0	715.5	2990.0	149.5	726.0	6081.0	2036.5	114.0	2688.5	556.0	6168.0	2267.5	21.5	3492.0	177.0	255.0	1241.0	3455.5	3622.5	1821.5	2166.5	17.5	2028.0	1367.5	26.0	2833.0	935.5	1082.5	2853.5	1473.5	1447.0	4374.5	326.5	3152.0	3588.5	4094.0	2025.0	5198.0	4156.5	7823.5	6732.5
72273.0	547.5	1293.0	6331.5	256.5	983.5	10505.0	2717.0	191.5	4342.0	823.0	9795.5	4949.0	41.0	5784.0	366.0	299.0	2197.0	7124.5	8064.5	3314.5	1725.0	27.0	3359.0	2264.0	31.0	4597.5	1492.5	1459.0	5593.0	1739.0	2579.0	7128.0	1068.5	4910.5	6518.5	5596.5	3331.0	8925.0	7349.5	9961.0	8409.5
72274.0	18037.5	32748.5	227242.0	17949.0	18394.5	293887.0	131353.0	8402.0	210629.0	24400.0	231404.5	289592.0	1090.0	102594.5	57619.5	40028.0	73771.0	107773.0	234063.5	99715.5	56030.0	836.0	140067.0	71713.5	891.0	213463.0	54904.0	114886.5	267899.5	62715.0	41805.0	163599.0	13127.5	170989.0	110640.5	169805.5	77690.5	329130.5	217956.0	300722.5	414337.5
76804.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	6.0	2.0	0.0	0.0	0.0
80840.0	12878.0	31390.0	160394.5	6232.5	76111.0	248220.0	60995.5	5606.0	125685.5	24797.5	291958.0	98321.5	1183.5	147237.0	12642.5	11187.0	47375.5	150756.5	165770.5	80816.0	89657.0	828.5	92879.5	65017.0	773.5	141993.5	40422.5	49494.5	144634.0	49818.0	40132.0	202676.5	16742.0	134310.0	192365.5	242435.0	98730.0	232923.5	178948.5	331455.5	285182.0
