genes	logFC	logCPM	F	PValue	FDR
ENSG00000110852	0.98687662053297	5.08244029381911	23.7263287659623	1.47273842864504e-05	0.00394137291285355
ENSG00000163162	2.08088602500433	4.78632077062608	23.6285071216577	1.52043835159119e-05	0.00394137291285355
ENSG00000085514	1.70697071105778	4.39220473191501	23.5604548845634	1.53807098449118e-05	0.00394137291285355
ENSG00000184730	1.74433822563952	6.47760530366198	23.5717815946003	1.56412806190443e-05	0.00394137291285355
ENSG00000102409	-0.917793307792146	3.72512313812121	23.1516024362601	1.56566108977572e-05	0.00394137291285355
ENSG00000051523	0.860037714061181	6.00054396166125	23.2347993774841	1.75097640789266e-05	0.00394137291285355
ENSG00000130816	-1.10127842111619	6.6540381149206	23.0196918095379	1.87913073220919e-05	0.00394137291285355
ENSG00000157551	2.63796263098285	4.33245359287347	22.9906356127754	1.88114923140096e-05	0.00394137291285355
ENSG00000088986	-1.16713660284806	6.73150129899994	23.0084257620495	1.88818391603169e-05	0.00394137291285355
ENSG00000059728	1.8431394608303	7.51813238032855	22.9221910616375	1.94844493926311e-05	0.00394137291285355
ENSG00000199990	-1.46618498929695	8.88027975799328	22.9158606242913	1.95289129649738e-05	0.00394137291285355
ENSG00000173535	2.51614177317332	4.52635828309933	22.8417518482068	1.98530309105308e-05	0.00394137291285355
ENSG00000105722	1.26833796609627	4.14129848168903	22.7599658006691	1.99484870383837e-05	0.00394137291285355
ENSG00000124731	2.71739362858841	4.76380584901734	22.7852702311302	2.02952322132402e-05	0.00394137291285355
ENSG00000221676	-1.58940557713889	6.1739540060529	22.6991993460801	2.05318492580379e-05	0.00394137291285355
ENSG00000128590	1.98591941366492	3.06726553947256	22.4732649812637	2.08029425210983e-05	0.00394137291285355
ENSG00000143995	-1.36749856551232	5.24960325991684	22.5541453419316	2.11475473700643e-05	0.00394137291285355
ENSG00000214960	-1.46545032750211	4.27881578474125	22.2861266656697	2.14125234905177e-05	0.00394137291285355
ENSG00000255240	-1.86091693690095	2.83949071334913	22.2135942783115	2.17430988230909e-05	0.00394137291285355
ENSG00000127951	1.35096569255055	6.334073651297	22.5800886625798	2.19183147968234e-05	0.00394137291285355
ENSG00000073756	3.02719931153176	4.35239090992139	22.4583717671555	2.26440019090533e-05	0.00394137291285355
ENSG00000166831	-1.78265619394893	4.51252120684627	22.0374611852874	2.33665122080318e-05	0.00394137291285355
ENSG00000172243	1.16801047020346	4.68236071724572	22.2885845168611	2.38667135104028e-05	0.00394137291285355
ENSG00000167173	1.219272753542	6.10338700432287	22.3159732485185	2.39820040079522e-05	0.00394137291285355
ENSG00000048991	-0.773220913297516	5.47878961642528	22.2611372769604	2.40384127198734e-05	0.00394137291285355
ENSG00000162511	1.03021207631966	7.88603693469165	22.307794610894	2.40515848785776e-05	0.00394137291285355
ENSG00000197405	2.52083365735021	5.98554256563746	22.3054554428266	2.40900240193059e-05	0.00394137291285355
ENSG00000070190	-1.19725468634432	6.98957157693154	22.1795857785467	2.51221077310463e-05	0.00404172843212984
ENSG00000163220	1.60436014928775	8.3817613139832	22.1086420794964	2.57529579104097e-05	0.00407530004441287
ENSG00000197081	1.64884822882738	5.51990501092321	21.8856253473814	2.77948220853142e-05	0.00432747447725061
ENSG00000100368	2.03618623933888	5.02493882532452	21.8213257254277	2.83799094401315e-05	0.00434843279088237
ENSG00000119535	2.35564711075018	6.90671819302861	21.7686138510249	2.90074714066964e-05	0.00437514252326313
ENSG00000184678	-1.51927973148904	7.4346584808122	21.6213995191315	3.05129860174739e-05	0.00449279369076291
ENSG00000138795	-1.09201756968471	4.34859183274132	21.368587702446	3.07183656469856e-05	0.00449279369076291
ENSG00000162551	2.50788852244608	4.07586984662989	21.3449836652121	3.28908738120194e-05	0.00473874037175258
ENSG00000198948	-1.4131653599221	5.98593501954663	21.2706760486152	3.39973490801427e-05	0.00478918897527342
ENSG00000196914	-1.42461903284083	8.23535939334329	21.229891353565	3.50110508665546e-05	0.00478918897527342
ENSG00000171051	2.0098641218019	4.93500929199018	21.0975149904025	3.65074948165304e-05	0.00478918897527342
ENSG00000145715	-1.16785580387686	5.39036525759294	21.0214541394099	3.66151139499806e-05	0.00478918897527342
ENSG00000159216	-1.15500362325584	6.19668685646941	21.07801810468	3.66201892178037e-05	0.00478918897527342
ENSG00000125952	-1.24446459740865	8.46162737741453	21.0805870729516	3.68931483116624e-05	0.00478918897527342
ENSG00000144802	1.66354260103731	6.46804372982234	21.0605202221906	3.71615119677273e-05	0.00478918897527342
ENSG00000172216	1.67889802860151	7.14696256235918	21.0261734025748	3.76091235467716e-05	0.00478918897527342
ENSG00000197329	1.88960372915125	5.99827260087671	20.9962113911446	3.79984770988562e-05	0.00478918897527342
ENSG00000137331	2.27883633750485	4.75712986285613	20.9545101768854	3.82023776127684e-05	0.00478918897527342
