genes	logFC	logCPM	F	PValue	FDR
88	-0.679484736849907	8.26028033766159	7.6283899646027	0.0084155278712255	0.200134795006501
44747	-1.23308084487618	5.55137856964289	7.56909294768029	0.00865333959071283	0.202977740542406
1745211	1.18600471433324	2.92958532696412	7.52727209531799	0.00882536280700709	0.202977740542406
568	0.72716505820937	5.81378985536067	7.50412104370082	0.00892215460725312	0.202977740542406
70774	-1.16689705118103	7.28905942424774	7.49833689747585	0.00894651364382376	0.202977740542406
680115	-0.536645894543446	4.51475186240175	7.47967421430237	0.0090255931029006	0.202977740542406
140568	-2.23340427663299	5.28786227617728	7.41301251103426	0.0093141983239297	0.207215874539898
73918	-0.4557751174534	6.15989844607468	7.36529519686109	0.00952681933538878	0.209691374520419
94008	-1.19211816256759	2.69465465219869	7.32800281621702	0.00969658987963063	0.21118152064164
65504	2.09512323676351	2.98258423220224	7.21698320320443	0.0102213778661051	0.219194289960878
432330	-0.663524471530267	10.7053831356157	7.16810064915285	0.010461979045147	0.219194289960878
49894	-1.07454666684201	4.71996036936761	7.16412303459984	0.0104818211176377	0.219194289960878
2679910	-2.3479310261692	6.76627469707997	7.12226071964256	0.0106931012175082	0.219194289960878
122277	0.687379969384215	9.17992241653532	7.11745490073494	0.010717645603999	0.219194289960878
482	0.937593085610093	12.894567915929	7.11314563900941	0.010739705101129	0.219194289960878
10892	-0.772754342366497	6.67437795584339	7.08718525140519	0.0108736282790424	0.219194289960878
361106	-0.46151370472537	5.75157821123973	7.07980217045289	0.0109120405345435	0.219194289960878
1653174	0.568316382295745	5.92837261787297	7.03966344560003	0.0111234223497338	0.219292832514324
41201	1.19702483610485	2.61974476824287	7.01623523783546	0.0112488191055339	0.219292832514324
1114981	-0.829729425308743	3.20294248510715	7.01550635563019	0.0112527444936779	0.219292832514324
2675231	0.856432661749102	7.65822548256185	6.96374042905636	0.0115353057116358	0.219292832514324
1485	-0.936959862071019	15.2923898975486	6.94823166152289	0.0116214274560772	0.219292832514324
10358	1.37598091609051	4.39895017308381	6.94660917893758	0.0116304768700542	0.219292832514324
93681	-0.82663910982436	5.64895095837403	6.9200992887199	0.0117794072725282	0.219292832514324
2179	-1.17853576489245	3.6026927207588	6.87591269864399	0.0120321908978846	0.219292832514324
82986	0.982862114750624	5.38524177922578	6.86212586550251	0.0121122444952299	0.219292832514324
214013	-0.947940951387055	2.55542203064941	6.84557833450389	0.0122090804355595	0.219292832514324
1016	0.881144118254633	10.9298679415192	6.81860450017172	0.0123687090097032	0.219292832514324
1357	0.813600822493224	10.0659113354927	6.81554243285056	0.0123869705314572	0.219292832514324
86795	0.429029029270589	6.60997361937409	6.78995484563005	0.0125407009061073	0.219292832514324
1742636	-0.970754234241603	3.68800512036935	6.78501345108755	0.0125706231094712	0.219292832514324
1436289	-0.683007554865814	9.25584735449479	6.77529539202129	0.0126296928954025	0.219292832514324
195950	0.677418166403255	8.29011755504272	6.76555048649398	0.0126892239444244	0.219292832514324
1177	-1.05505498191708	10.8252779988075	6.76073171784584	0.0127187723062923	0.219292832514324
84756	0.53553207417086	10.0673450725109	6.69134100582218	0.0131525283513087	0.224897364949238
2732929	-1.02167287905092	3.90507947051642	6.6492764544634	0.0134231520916513	0.225718439644136
334108	1.06115472159198	3.79357708675904	6.62197738406728	0.0136019647953081	0.225718439644136
1656823	-1.13445859405548	3.3315581947707	6.61816093982464	0.0136271653906678	0.225718439644136
397864	-0.592165557778176	6.18965344249529	6.6163889562524	0.0136388830610895	0.225718439644136
54304	-0.465440804037651	7.51127774466352	6.60026192338669	0.01374602387393	0.225718439644136
281915	-0.615981482123873	9.65200047973111	6.56260553881046	0.0139997187971962	0.228074158987393
1350	-0.804725910952891	11.0181330130537	6.52106288079567	0.0142854214076176	0.230910444471568
292486	0.976886156065018	5.30482270510463	6.49814946870075	0.0144456698130069	0.231690626690785
34102	-0.482303452724427	6.86075683137933	6.47347396738435	0.0146203963918425	0.232689231805555
109244	1.06054928938571	4.34939117235693	6.39862257805007	0.0151644049187934	0.236870141597361
1742992	0.47193952716995	6.78045134612211	6.38793071766966	0.0152438649077637	0.236870141597361
690565	1.5340541240771	2.23743188093346	6.38166026190795	0.0152906732247988	0.236870141597361
2478349	0.498813677048368	7.77333820599383	6.37493686598864	0.0153410338202254	0.236870141597361
158851	1.0240564697312	3.38279711873543	6.30986319699339	0.0158377460728466	0.238663382403099
2129	-0.57094274230683	5.11442718814198	6.30825314857189	0.0158502520963043	0.238663382403099
2094023	0.550639830680737	7.80363701532496	6.30428334219992	0.0158811327438445	0.238663382403099
221284	1.23241226452838	3.06232045201637	6.28565294605558	0.0160269203297113	0.238663382403099
1632780	-0.462548302384554	7.08571901598027	6.26811084399007	0.0161655037002171	0.238663382403099
2560142	-1.5715590605472	11.5247899108072	6.26347879102631	0.0162023111290066	0.238663382403099
1263978	-0.43055604355396	6.38569535982716	6.25566084097732	0.016264638433464	0.238663382403099
54298	-0.939032517690651	9.83200925550529	6.23181530071408	0.0164563360763625	0.238952187877643
642	0.790566016835167	11.1426635749577	6.21662443594795	0.0165797198956373	0.238952187877643
292636	1.66148465634849	2.54842838692516	6.21037156437749	0.0166307950963657	0.238952187877643
1186	-0.644534248190612	9.65812394752145	6.14797575300175	0.017149806149816	0.244709992579098
28100	-0.29327315646901	7.80620670311555	6.09286979656896	0.0176226431064978	0.249734579365369
2675229	0.989711927692126	8.21772762019367	6.05314625474498	0.0179721611032039	0.252347212699669
264688	-0.78642651917405	7.71884990867138	6.02480061481698	0.0182261140677515	0.252347212699669
158876	0.765557323135336	3.04006357612888	6.023633701254	0.0182366508550532	0.252347212699669
1372	0.453309027236689	8.70011087969373	6.00540496621345	0.0184021013645709	0.252347212699669
445	-0.309330933932648	11.5987606931362	5.9982415124401	0.0184675599668332	0.252347212699669
919	-0.299885296517433	7.32859803311276	5.97913787235508	0.0186433519946908	0.252347212699669
568988	0.513226853940111	6.50701364793376	5.97725606910265	0.0186607653663844	0.252347212699669
1849822	0.888650558891177	4.27256458759993	5.92027591839529	0.0191963960376017	0.25689963106097
261827	-0.644499225189959	3.89356741156587	5.89422067725383	0.0194468059486855	0.25689963106097
335058	-1.00028749850424	8.91044669086578	5.87485977305235	0.0196351510362173	0.25689963106097
