genes	logFC	logCPM	PValue	FDR
ENSG00000202182	-1.62543274523816	7.03439800873795	1.37667266077723e-06	0.00275560511497596
ENSG00000206669	-1.70576642686113	0.298317606844805	1.43407438951119e-06	0.00275560511497596
ENSG00000197380	-3.26745338446577	2.10407694006107	1.97717226300052e-06	0.00359800973125287
ENSG00000196593	-2.49499604608701	3.2442382730795	2.03530361537101e-06	0.00359800973125287
ENSG00000101981	-2.90658887050725	-1.1410105699873	2.49678947543314e-06	0.00424406195641413
ENSG00000279191	4.86504251674968	-1.82763978482468	2.62244059644896e-06	0.00429254674666896
ENSG00000184207	-2.76049551885513	3.76103957636134	2.93705933238364e-06	0.00453557203204322
ENSG00000261441	-1.39959334850845	5.34716586192719	3.19224727943489e-06	0.00453557203204322
ENSG00000179588	-2.17362987893537	6.05482599926264	3.22480168730782e-06	0.00453557203204322
ENSG00000206768	-2.21192357814914	-0.0766116301808558	3.27119369303276e-06	0.00453557203204322
ENSG00000199595	-2.22832619095645	-1.15671946636065	3.2840435575378e-06	0.00453557203204322
ENSG00000200204	-3.08753468941504	6.67280775793936	3.82663937896458e-06	0.00512479779858605
ENSG00000222072	-1.74123276914325	1.82336698269081	3.99422578361192e-06	0.00519190613255084
ENSG00000075914	-1.62316724988908	3.2483585273812	4.30848159630689e-06	0.0053832055578225
ENSG00000228812	-2.43428420170617	2.45292888996248	4.38500735561964e-06	0.0053832055578225
ENSG00000205108	-3.19377589135629	2.75361391285057	4.62053933066725e-06	0.00551904691131998
ENSG00000168772	-2.50797459466004	3.32714964000361	5.3303318008503e-06	0.00619607488716215
ENSG00000116237	1.70986536641214	1.56745627036859	5.59806183535786e-06	0.00619607488716215
ENSG00000238426	-1.87477138559556	1.26438497117847	5.60794197276809e-06	0.00619607488716215
ENSG00000252064	-2.30038568848281	0.341683093958105	6.39233812170404e-06	0.0064434716650726
ENSG00000200090	-1.80726026838856	1.85389488599047	6.59363018235484e-06	0.0064434716650726
ENSG00000188070	-1.66442664664919	3.78615451099104	6.74679702244297e-06	0.0064434716650726
ENSG00000210151	-2.32021834249933	6.68518290345813	6.77939192139588e-06	0.0064434716650726
ENSG00000168589	-7.68885762297913	0.470162313164051	6.86639821060452e-06	0.0064434716650726
ENSG00000200049	-3.41740144073162	-2.10154838263171	6.92371219731759e-06	0.0064434716650726
ENSG00000200208	-2.16909574746905	0.611656846494159	6.92580099988024e-06	0.0064434716650726
ENSG00000247982	1.75466969546431	3.24517251146769	6.99822694701855e-06	0.0064434716650726
