NAME	platelet	erythroid	neutrophil	monocyte	macrophage	myeloid prog	dendritic cell	basophil	mast cell	b cell	plasma cell	plasmablast	t cell	nk cell	ILC	HSPC	thymocyte	adventitial cell	fibroblast/mesenchymal stem cell	pericyte cell	smooth muscle cell	stromal cell	endothelial cell
ZFPM2.AS1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ZFR2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ZFX	1.0	23.5230195021956	44.2597515887054	29.4701608523967	79.5239751504745	55.2279977064123	80.452723143425	31.8839403815809	74.7028091845546	214.382755747818	19.6078239250591	85.1703568627797	130.521719429853	155.411321624426	108.398461737341	63.1777856426327	170.332464474487	120.640431097899	66.6467119152884	50.8296768542194	54.850753093926	95.3220566675191	100.889423036768
ZFY	1.0	8.07413631688725	1.0	1.0	23.3355472038129	49.3124365038283	40.6429758344016	1.0	1.0	42.1296478981074	1.0	1.0	22.0297335274295	99.9923226731506	15.6314064199873	23.0703776355083	1.0	1.0	17.2435878985058	35.7031215847214	24.0944481106171	29.8705202436474	1.0
ZFYVE1	1.0	10.8637869094206	1.0	1.0	1.0	20.29099422339	31.2577526088807	6.75957978637603	56.6066007033204	42.838406369843	1.0	8.93997351534383	1.0	1.0	28.3690048626042	39.3496586471576	41.7130918769639	13.4233082518477	23.9664372477238	13.009652281001	1.0	1.0	20.9935803166474
ZFYVE16	1.0	6.53549975825182	211.628566732986	124.980135736805	156.001515806456	44.6654482179441	102.52100380636	101.443415311013	96.0625039201473	82.2876790882462	10.8444531628108	1.0	49.2413290793821	16.9669904918	61.8929065655586	55.6484838573129	35.2283470918849	140.770048536933	80.3805028766339	66.4296183138803	62.297790233072	73.3615195557694	134.325853909223
ZFYVE19	1.0	5.48278659628955	1.0	1.0	15.4389841042698	6.94141909136749	62.3209478778468	19.3771869770314	37.8464181154733	1.0	1.0	18.2453149491976	37.3526566258718	49.4851874437671	22.0590225835249	1.0	1.0	28.9930805129868	13.1765882683322	1.0	11.9945569422886	1.0	1.0
ZFYVE21	99.0874619804715	18.0054984008334	1.0	16.3450295336043	30.8004029666893	38.7289488243992	71.9203980893629	48.7318830075666	1.0	37.9752029885192	5.14456273607308	7.59977613101588	1.0	1.0	1.0	66.3354474594522	1.0	171.562736007683	80.9821505442758	194.582047310813	255.98680683918	35.8138809427116	162.988896507989
ZFYVE26	1.0	1.0	1.0	1.0	8.46680176240944	6.53641640836927	60.1025068514766	14.2114794672848	1.0	1.0	1.0	1.0	1.0	35.4247915483948	1.0	46.7852014560005	40.1226560603342	1.0	11.4215940964857	6.00744013490131	1.0	1.0	1.0
ZFYVE27	1.0	20.302309481424	46.8259141224875	52.5397628367645	19.5493057490999	37.905968981285	27.3324204760902	3.62692651224088	15.789836745122	76.0323469539906	16.9788464054094	73.2966170219923	21.8163931604654	75.4364251595313	1.0	19.9799291674534	47.9192484382498	1.0	23.4128757076739	1.0	15.5477304894548	23.0783965221703	20.7172105318802
ZFYVE28	1.0	1.0	1.0	1.0	1.0	7.12201837224616	29.5192790326261	60.5810735043985	1.0	1.0	1.0	1.0	63.387446405594	41.7514364069025	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	18.4722075922948
ZFYVE9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	26.3582407790612	1.0	1.0	31.0652497914266	25.6163582209801	28.3395490665731	1.0	15.7987219450976	20.4783452703733
ZGLP1	6.3665949321536	1.0	1.0	1.0	1.0	8.31258587234847	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.74910580310789	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ZGPAT	1.0	1.0	1.0	1.0	1.0	1.0	24.1010903714655	1.0	1.0	1.0	18.0491856775464	1.0	48.5178276415504	19.9962181411004	1.0	1.0	82.1232301768607	1.0	1.0	1.0	1.0	1.0	1.0
ZGRF1	1.0	17.4575096280647	1.0	1.0	1.0	7.59601324169483	1.0	1.0	1.0	1.0	4.08707434790929	128.347919094787	1.0	59.5830322562817	18.6985241033733	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ZHX1	32.0818109103043	43.2124261125417	1.0	25.6770000422311	59.9834800202015	127.886914104866	61.3483754603156	137.405925829822	66.3355319455779	55.4901282810912	2.97020107328691	1.0	1.0	130.223153470091	40.1324921060777	64.0182550759936	41.8619044631228	108.514429801936	37.8256173988307	77.6115603544299	80.2552708258908	81.3390142171616	86.4835756752605
ZHX1.C8orf76	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ZHX2	1.0	1.0	1.0	1.0	1.0	1.0	47.2021807429311	23.7019507861004	21.8256969595936	82.2901637582605	3.82629399966057	9.73607925384343	1.0	45.6169805231858	31.7126800497709	15.376267427442	90.6241287733829	48.8567788082838	29.800169178441	5.98955712530467	1.0	35.9746297177102	1.0
ZHX3	1.0	11.7321650669816	1.0	34.0718164681731	35.0379746982802	31.5546851330133	1.0	1.0	1.0	1.0	4.10334356950499	1.0	1.0	1.0	1.0	1.0	47.8153062452238	86.9332373491212	71.6796762090878	39.9822859964538	108.098446341237	1.0	52.556594507506
ZIK1	1.0	1.0	1.0	1.0	1.0	10.8569597900445	1.0	1.0	1.0	1.0	6.14082882902112	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	31.5755083481039
ZKSCAN1	1.0	30.6085026137344	76.4444855458073	104.482694422942	114.750845955652	107.31426185802	168.929786496587	31.807918812462	66.4494060742307	58.7371321836673	39.9867592526535	23.0000819979738	98.291510967035	114.363064613423	193.6180884408	191.553022893979	78.5928321701114	144.597635129383	92.61349605259	46.6411018815955	111.385957923613	63.3943720348311	98.3515904413011
ZKSCAN2	1.0	1.0	1.0	1.0	1.0	5.83823308663519	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	24.0796558909332	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ZKSCAN2.DT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	31.9824147498715	1.0	1.0	1.0	1.0	41.4669721543227	64.8577174459059	1.0	19.4200013182736	1.0	1.0	1.0	1.0	1.0	1.0	12.86823309978
ZKSCAN4	1.0	13.8880026101309	1.0	1.0	1.0	24.7796558474602	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	58.4602694307504	1.0	1.0	1.0	1.0	1.0	1.0	11.6075526045977
ZKSCAN5	1.0	1.0	1.0	1.0	1.0	23.3563635710572	1.0	1.0	1.0	1.0	5.92098119153283	25.4798113512046	1.0	1.0	26.3582407790612	1.0	1.0	11.8671818477872	14.4528633304016	33.6500408604865	11.8823064826394	1.0	21.6829119076144
ZKSCAN7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ZKSCAN8	1.0	1.0	1.0	21.9041936322342	5.37738406608975	35.9800109240393	1.0	1.0	1.0	44.1231194109984	1.0	15.6865151028321	35.2900633065602	1.0	1.0	38.7652447277854	1.0	6.3171650284779	1.0	1.0	1.0	11.4674649610316	1.0
ZMAT1	1.0	1.0	1.0	101.106311913142	29.1668964817769	58.6490622704258	52.0276156572139	19.3771869770314	66.2105070230959	93.2770270432467	1.0	1.0	41.298556998657	44.0039031252191	17.0512526594169	41.7553515982577	33.8741974557989	27.6197195649189	1.0	5.63750501185267	44.8856477388156	1.0	30.3636104475051
ZMAT3	26.9106384022498	1.0	80.8133358410009	103.491413628812	1.0	37.4676675908082	76.9455434847393	68.3206674196791	90.3715250938907	21.0783433166542	1.0	10.221684045537	29.9374381101467	33.707698645666	92.9139728528321	48.4862556062466	49.7314816779748	40.7690403788462	36.1423846020563	53.3096165454283	84.777267793019	14.4650304784362	68.4172683799579
ZMAT5	1.0	14.0193835717865	1.0	29.4376502508915	47.1165256247587	45.6394338296335	1.0	36.9808565288301	1.0	1.0	26.4125276061653	15.5397496463597	1.0	43.4479215277135	54.3770089807832	37.292416568019	47.0281821614264	8.21716133734778	18.2955204201004	18.1085259767232	59.1458554771354	1.0	23.5908084156398
